Component Name;Application;Category;Type;Database;LCI-ID;Lambda;R-Value;U-Value;Min Density;Max Density;Functional Unit;Type of Assembly;Material;Waste Category;Landfill;Incineration;Reuse;Recycling;Sorted on Building Site
FOAMGLAS | Board | Cellular glass | Excluding fixations | 95 kg/m³;Roof finish | Thermal insulation - horizontal surfaces;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD194-5;0.036;1.3889;;95;95;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 95 kg/m³;Wall - external finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD208-1;0.038;1.3158;;95;95;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 95 kg/m³;Wall - internal finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD208-2;0.038;1.3158;;95;95;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 110 kg/m³;Floor finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD197-1;0.041;1.2195;;110;110;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 110 kg/m³;Roof finish | Thermal insulation - inclined surfaces;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD197-2;0.041;1.2195;;110;110;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 110 kg/m³;Wall - internal finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD197-3;0.041;1.2195;;110;110;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 110 kg/m³;Roof finish | Thermal insulation - horizontal surfaces;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD197-4;0.041;1.2195;;110;110;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 110 kg/m³;Wall - external finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD197-6;0.041;1.2195;;110;110;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 110 kg/m³;Ceiling finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD197-7;0.041;1.2195;;110;110;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 130 kg/m³;Floor finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD206-1;0.045;1.1111;;130;130;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 130 kg/m³;Roof finish | Thermal insulation - horizontal surfaces;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD206-2;0.045;1.1111;;130;130;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 130 kg/m³;Roof finish | Thermal insulation - inclined surfaces;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD206-4;0.045;1.1111;;130;130;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 165 kg/m³;Roof finish | Thermal insulation - inclined surfaces;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD207-1;0.05;1;;165;165;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 165 kg/m³;Floor finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD207-3;0.05;1;;165;165;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
FOAMGLAS | Board | Cellular glass | Excluding fixations | 165 kg/m³;Roof finish | Thermal insulation - horizontal surfaces;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD207-4;0.05;1;;165;165;sqm;Unknown, depends on the construction method;Foamglas;Mineral insulation materials;0.45;0.45;0.0;0.1;Not available
Gramitherm | Board | Grass fibre | For between timber frame | Friction fitted;Wall - internal finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD357-1;0.041;2.439;;40;40;sqm;Loose laid;grass based insulation panel;Organic insulation materials;0.05;0.95;0.0;0.0;Not available
Gramitherm | Board | Grass fibre | For between battens | Friction fitted;Ceiling finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD357-2;0.041;2.439;;40;40;sqm;Loose laid;grass based insulation panel;Organic insulation materials;0.05;0.95;0.0;0.0;Not available
Gramitherm | Board | Grass fibre | For between timber frame | Friction fitted;External wall - loadbearing | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD357-3;0.041;2.439;;40;40;sqm;Loose laid;grass based insulation panel;Organic insulation materials;0.05;0.95;0.0;0.0;Not available
Gramitherm | Board | Grass fibre | For between joists and cross beams | Friction fitted;Floor | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD357-4;0.041;2.439;;40;40;sqm;Loose laid;grass based insulation panel;Organic insulation materials;0.05;0.95;0.0;0.0;Not available
Gramitherm | Board | Grass fibre | Upon floor slab;Floor finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD357-5;0.041;2.439;;40;40;sqm;Loose laid;grass based insulation panel;Organic insulation materials;0.05;0.95;0.0;0.0;Not available
